id,matzavbriut,k_gova,k_mishkal,k_safaikarit,labour_force_participation,gilGroup,MeanIncomeGroup,hashavani,chipesshana,teudagvoha,k_shnlimklali,k_sug_mosad,m_eretz,mazav,mamadavoda,mekabelsachar,min,semelmishlach,safanosefetanglit,k_semelmiktzlim,incomeGroupUp,future_hour_income
29340005,Good,174_170,59_55,Arabic,FALSE,18-21,4039,YesUsually,nan,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Male,Building_metals_electricity_printingandsuchproffesionals,no,nan,FALSE,0
9680005,VeryGood,nan,89_85,Hebrew,TRUE,46-50,11576,Never,nan,Primaryschoolorintermediateschooldiploma,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,nan,yes,nan,FALSE,0
43810002,Good,174_170,nan,Hebrew,TRUE,31-35,7777,Sometimes,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Married,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,yes,business,TRUE,69.07894737
11050001,VeryGood,169_165,59_55,Hebrew,TRUE,36-40,11576,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,yes,nan,TRUE,79.16666667
40760001,VeryGood,nan,89_85,English,TRUE,26-30,11576,Never,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,nan,Euorope_America,Married,SelfEmployed,nan,Male,Techniciansandassociateprofessionals,no,Arts,FALSE,44.04901961
31850002,VeryGood,164_160,74_70,Hebrew,FALSE,61-65,1922,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Married,nan,nan,Female,nan,yes,Teachertrainingandeducationscience,FALSE,0
33100002,Good,164_160,64_60,Hebrew,FALSE,51-55,7,Never,no,Firstacademicdegree_BAorsimilardegree_,16andmore,AcademidColleges,Israel,Married,nan,nan,Female,nan,yes,Arts,FALSE,0
25120003,Good,nan,109_105,Hebrew,TRUE,31-35,7,Sometimes,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Israel,Married,SelfEmployed,nan,Male,Techniciansandassociateprofessionals,yes,nan,TRUE,0
12160001,VeryGood,179_175,99_95,Hebrew,TRUE,51-55,25628,Never,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,AcademidColleges,Israel,Married,CooperativeMember,FromWorkingPlace,Male,Managers,yes,other,FALSE,277.7777778
36480001,VeryGood,164_160,74_70,Russian,TRUE,46-50,5640,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,nan,Euorope_America,Divorced,Employed,FromWorkingPlace,Female,Serviceandsalesworkers,yes,Socialsciences,TRUE,59.375
19770001,Good,174_170,nan,Arabic,TRUE,26-30,7,Sometimes,nan,Primaryschoolorintermediateschooldiploma,11_12,nan,Israel,Married,nan,nan,Male,nan,no,nan,TRUE,27.5
25190001,VeryGood,169_165,59_55,Hebrew,TRUE,26-30,7,YesUsually,yes,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Nevermarried,nan,nan,Female,nan,yes,law,FALSE,0
37640001,NotsoGood,169_165,94_90,Russian,FALSE,61-65,7,Sometimes,no,Secondaryschooldiploma?€“matriculationcertificate,9_10,nan,Euorope_America,Widowed,nan,nan,Female,nan,no,nan,FALSE,0
32790003,Good,164_160,69_65,Hebrew,TRUE,51-55,4039,Rarely,nan,Primaryschoolorintermediateschooldiploma,11_12,nan,Israel,Married,Employed,FromWorkingPlace,Female,Clericalsupportworkers,no,nan,TRUE,60
15480002,NotsoGood,154_150,74_70,Hebrew,FALSE,61-65,7,YesUsually,no,Primaryschoolorintermediateschooldiploma,13_15,nan,Africa,Married,nan,nan,Female,nan,no,nan,FALSE,0
7060001,NotsoGood,169_165,nan,Russian,FALSE,71-75,7,Never,no,Firstacademicdegree_BAorsimilardegree_,16andmore,nan,Euorope_America,Widowed,nan,nan,Female,nan,no,Engineeringandarchitecture,FALSE,0
45190001,VeryGood,179_175,74_70,Hebrew,FALSE,56-60,7,Never,no,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Israel,Nevermarried,nan,nan,Male,nan,yes,nan,FALSE,0
17540001,Good,179_175,74_70,Hebrew,TRUE,36-40,7777,YesUsually,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Israel,Divorced,Employed,FromWorkingPlace,Male,Clericalsupportworkers,yes,nan,FALSE,47.55
48350002,NotGoodatAll,159_155,nan,Russian,FALSE,61-65,7,YesUsually,no,Secondaryschooldiploma?€“matriculationcertificate,9_10,nan,Euorope_America,Married,nan,nan,Female,nan,no,nan,FALSE,0
10980001,VeryGood,174_170,64_60,Hebrew,FALSE,41-45,1922,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,nan,Israel,Married,SelfEmployed,nan,Female,nan,yes,law,TRUE,41.66666667
47210001,NotsoGood,nan,94_90,Russian,TRUE,71-75,4039,Never,nan,Thirdacademicdegree_Ph_D_orsimilardegree_,16andmore,nan,nan,Divorced,SelfEmployed,nan,Male,AcademicPreffesionals,no,other,FALSE,53.090625
26650001,NotGoodatAll,164_160,nan,Arabic,FALSE,56-60,7,YesUsually,no,Nodiplomaordegree,0_5_4,nan,Israel,Widowed,nan,nan,Female,nan,no,nan,FALSE,0
40660001,NotsoGood,169_165,89_85,Russian,TRUE,56-60,4039,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Asia,Married,Employed,FromWorkingPlace,Female,nan,no,nan,FALSE,0
27520003,VeryGood,174_170,nan,Arabic,TRUE,26-30,4039,Rarely,nan,Nodiplomaordegree,9_10,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Male,Building_metals_electricity_printingandsuchproffesionals,no,nan,FALSE,25
36510002,VeryGood,174_170,nan,Hebrew,TRUE,46-50,4039,Never,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Female,Serviceandsalesworkers,yes,nan,TRUE,52.86627907
25820002,VeryGood,164_160,nan,Hebrew,TRUE,56-60,1922,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,nan,FALSE,55.41666667
36080003,VeryGood,179_175,59_55,Hebrew,TRUE,18-21,7,Never,no,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,nan,nan,Female,nan,yes,nan,TRUE,0
15560001,VeryGood,nan,99_95,Hebrew,FALSE,46-50,11576,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Euorope_America,Married,Employed,FromWorkingPlace,Male,Serviceandsalesworkers,yes,nan,FALSE,58.33333333
43890001,VeryGood,159_155,54_50,Hebrew,TRUE,31-35,4039,Rarely,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Divorced,Employed,FromWorkingPlace,Female,Serviceandsalesworkers,yes,nan,FALSE,37.51
9450001,Good,169_165,94_90,Hebrew,TRUE,46-50,11576,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Married,Employed,OtherSource,Male,AcademicPreffesionals,yes,Science_mathematicsandcomputing,TRUE,99.05614583
32430001,NotsoGood,179_175,99_95,Arabic,TRUE,31-35,1922,YesUsually,yes,Nodiplomaordegree,9_10,nan,Israel,Married,nan,nan,Male,nan,no,nan,FALSE,21.42857143
5780001,VeryGood,164_160,54_50,Hebrew,TRUE,46-50,1922,Rarely,nan,Primaryschoolorintermediateschooldiploma,11_12,nan,Euorope_America,Married,Employed,FromWorkingPlace,Female,Serviceandsalesworkers,no,nan,FALSE,33.33333333
35050002,Good,159_155,49_45,Arabic,TRUE,26-30,7,Sometimes,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
5640001,VeryGood,upto149,nan,English,FALSE,41-45,1922,Sometimes,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Euorope_America,Married,nan,nan,Female,nan,no,nan,FALSE,0
19990001,NotGoodatAll,179_175,59_55,Arabic,FALSE,36-40,7,Never,no,Primaryschoolorintermediateschooldiploma,13_15,nan,Israel,Married,nan,nan,Male,nan,no,nan,TRUE,38.88888889
14310004,VeryGood,174_170,69_65,Arabic,TRUE,22-25,4039,YesUsually,nan,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Male,Building_metals_electricity_printingandsuchproffesionals,no,nan,FALSE,0
32450001,NotsoGood,154_150,99_95,Arabic,FALSE,61-65,7,YesUsually,no,nan,nan,nan,Asia,Divorced,nan,nan,Female,nan,no,nan,FALSE,0
31030002,NotGoodatAll,174_170,89_85,Hebrew,FALSE,61-65,7,Sometimes,no,Primaryschoolorintermediateschooldiploma,9_10,nan,Euorope_America,Married,nan,nan,Male,nan,no,nan,FALSE,0
26300003,VeryGood,nan,nan,Hebrew,TRUE,31-35,25628,YesUsually,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,AcademidColleges,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,business,FALSE,0
13360001,Good,164_160,nan,Arabic,TRUE,36-40,7777,YesUsually,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,AcademidColleges,Israel,Married,Employed,FromWorkingPlace,Female,AcademicPreffesionals,yes,Socialsciences,TRUE,60
15780001,Good,164_160,69_65,Hebrew,TRUE,36-40,11576,Never,nan,Primaryschoolorintermediateschooldiploma,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,nan,FALSE,92.63333333
320002,NotsoGood,164_160,74_70,Hebrew,FALSE,76-80,7,Sometimes,no,Nodiplomaordegree,9_10,nan,Euorope_America,Married,nan,nan,Male,nan,no,nan,FALSE,0
24020003,NotsoGood,159_155,69_65,Hebrew,TRUE,56-60,7777,Never,nan,Firstacademicdegree_BAorsimilardegree_,13_15,TeachingStudiCollege,Africa,Married,Employed,FromWorkingPlace,Female,AcademicPreffesionals,no,other,FALSE,0
28500004,VeryGood,nan,89_85,Hebrew,TRUE,18-21,7,nan,no,Nodiplomaordegree,9_10,nan,Israel,Nevermarried,nan,nan,Male,nan,no,nan,TRUE,38.75677083
15340002,VeryGood,174_170,69_65,Hebrew,TRUE,36-40,25628,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Married,Employed,FromWorkingPlace,Male,AcademicPreffesionals,yes,Engineeringandarchitecture,FALSE,413.687963
47880001,VeryGood,174_170,64_60,Hebrew,TRUE,22-25,1922,Never,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Euorope_America,Nevermarried,Employed,FromWorkingPlace,Female,Serviceandsalesworkers,yes,nan,FALSE,0
3450002,Good,169_165,94_90,Hebrew,TRUE,66-70,5640,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,Employed,OtherSource,Female,Techniciansandassociateprofessionals,yes,nan,TRUE,42.36203704
9480001,Good,169_165,nan,Hebrew,TRUE,41-45,11576,Never,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Female,AcademicPreffesionals,yes,nan,FALSE,59.58888889
12750001,VeryGood,174_170,74_70,Hebrew,TRUE,36-40,25628,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,no,nan,FALSE,89.28571429
9240014,VeryGood,159_155,54_50,Hebrew,TRUE,46-50,11576,Never,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,Univercities,Israel,Married,Employed,FromWorkingPlace,Female,Clericalsupportworkers,yes,Socialsciences,FALSE,59.375
10080001,VeryGood,174_170,nan,Hebrew,TRUE,41-45,11576,Never,nan,Firstacademicdegree_BAorsimilardegree_,13_15,Univercities,Israel,Married,Employed,FromWorkingPlace,Female,nan,yes,Socialsciences,FALSE,124.1583333
14310006,VeryGood,159_155,59_55,Arabic,TRUE,18-21,7,nan,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Nevermarried,nan,nan,Female,nan,yes,nan,FALSE,0
